T,Demand
2023,"63,000.00"
2024,"78,750.00"
2025,"98,437.50"
2026,"123,046.88"
2027,"153,808.59"
2028,"192,260.74"
2029,"240,325.93"
2030,"300,407.41"
2031,"375,509.26"
2032,"469,386.58"
2033,"586,733.22"
2034,"733,416.53"
2035,"916,770.66"
2036,"945,000.00"
2037,"945,000.00"
2038,"945,000.00"
2039,"945,000.00"
2040,"945,000.00"
2041,"945,000.00"
2042,"945,000.00"
2043,"945,000.00"
2044,"945,000.00"
2045,"945,000.00"
2046,"945,000.00"
2047,"945,000.00"
2048,"945,000.00"
2049,"945,000.00"
2050,"945,000.00"
